UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3146731,01/02/2015,17:45,BROOKLYN,11224,40.5791532,-73.9832495,"(40.5791532, -73.9832495)",,,F/O 1501 NEPTUNE AVENUE,0,0,0,0,0,0,0,0,TAXI,,,,,OTHER ELECTRONIC DEVICE,OTHER ELECTRONIC DEVICE,,,
3146536,01/02/2015,17:45,QUEENS,11103,40.7612416,-73.914943,"(40.7612416, -73.914943)",NEWTOWN ROAD,42 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3146354,01/02/2015,17:45,,,,,,,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,TURNING IMPROPERLY,UNSPECIFIED,,,
3147741,01/02/2015,17:46,QUEENS,11413,40.666402,-73.7507319,"(40.666402, -73.7507319)",NORTH CONDUIT AVENUE,143 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3146851,01/02/2015,17:46,QUEENS,11413,40.666402,-73.7507319,"(40.666402, -73.7507319)",NORTH CONDUIT BOULEVARD,143 AVENUE,,0,0,0,0,0,0,0,0,UNKNOWN,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3146291,01/02/2015,17:48,BRONX,10461,40.8450537,-73.8454554,"(40.8450537, -73.8454554)",,,F/O 1621 EASTCHESTER ROAD,0,0,0,0,0,0,0,0,PICK-UP TRUCK,,,,,UNSPECIFIED,,,,
3146197,01/02/2015,17:50,MANHATTAN,10023,40.7729916,-73.9820779,"(40.7729916, -73.9820779)",COLUMBUS AVENUE,WEST 65 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,UNKNOWN,,,,UNSPECIFIED,UNSPECIFIED,,,
3146892,01/02/2015,17:50,,,40.741983,-73.8247448,"(40.741983, -73.8247448)",,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3146705,01/02/2015,17:57,,,,,,NELSON AVENUE,FEATHERBED LANE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3146700,01/02/2015,18:00,BRONX,10475,40.8695146,-73.8261813,"(40.8695146, -73.8261813)",COOP CITY BOULEVARD,BARTOW AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146802,01/02/2015,18:00,BROOKLYN,11217,40.6845894,-73.9891291,"(40.6845894, -73.9891291)",HOYT STREET,WARREN STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3146353,01/02/2015,18:00,BROOKLYN,11232,40.6579903,-73.9969184,"(40.6579903, -73.9969184)",27 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146157,01/02/2015,18:00,MANHATTAN,10003,40.7358892,-73.99121,"(40.7358892, -73.99121)",UNION SQUARE WEST,EAST 15 STREET,,0,0,0,0,0,0,0,0,VAN,VAN,,,,UNSPECIFIED,UNSPECIFIED,,,
3146179,01/02/2015,18:00,MANHATTAN,10019,40.7678891,-73.9815125,"(40.7678891, -73.9815125)",COLUMBUS CIRCLE,CENTRAL PARK SOUTH,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,LOST CONSCIOUSNESS,LOST CONSCIOUSNESS,,,
3146944,01/02/2015,18:00,,,,,,CHRISTOPHER LANE,VICTORY BOULEVARD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,AGGRESSIVE DRIVING/ROAD RAGE,UNSPECIFIED,,,
3364139,01/02/2015,18:00,,,,,,WEST TREMONT AVENUE,GRAND AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,
3146438,01/02/2015,18:00,QUEENS,11432,40.7074206,-73.7971468,"(40.7074206, -73.7971468)",164 STREET,89 AVENUE,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,OUTSIDE CAR DISTRACTION,,,
3146693,01/02/2015,18:01,,,,,,,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,,TURNING IMPROPERLY,UNSPECIFIED,,,
3146838,01/02/2015,18:02,QUEENS,11419,40.6924329,-73.8248328,"(40.6924329, -73.8248328)",95 AVENUE,121 STREET,,0,0,0,0,0,0,0,0,UNKNOWN,PICK-UP TRUCK,,,,UNSPECIFIED,UNSPECIFIED,,,
3146826,01/02/2015,18:10,BROOKLYN,11206,40.7047006,-73.9331244,"(40.7047006, -73.9331244)",BOGART STREET,THAMES STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,UNSPECIFIED,UNSPECIFIED,,,
3153564,01/02/2015,18:10,,,,,,,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,FATIGUED/DROWSY,UNSPECIFIED,,,
3146902,01/02/2015,18:15,QUEENS,11368,40.7449346,-73.8679112,"(40.7449346, -73.8679112)",44 AVENUE,JUNCTION BOULEVARD,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,DRIVER INEXPERIENCE,UNSPECIFIED,,,
3146868,01/02/2015,18:15,QUEENS,11419,40.687951,-73.8250104,"(40.687951, -73.8250104)",103 AVENUE,LEFFERTS BOULEVARD,,1,0,1,0,0,0,0,0,PICK-UP TRUCK,,,,,UNSPECIFIED,,,,
3196532,01/02/2015,18:15,,,,,,,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3146141,01/02/2015,18:15,,,,,,,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3146708,01/02/2015,18:20,BRONX,10470,40.9001385,-73.8711839,"(40.9001385, -73.8711839)",VANCORTLANDT PARK EAST,EAST 239 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146142,01/02/2015,18:20,MANHATTAN,10038,40.7116973,-74.0008729,"(40.7116973, -74.0008729)",MADISON STREET,PEARL STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3146139,01/02/2015,18:24,MANHATTAN,10007,40.7139418,-74.0123258,"(40.7139418, -74.0123258)",BARCLAY STREET,WASHINGTON STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146602,01/02/2015,18:28,MANHATTAN,10017,40.7541542,-73.9803938,"(40.7541542, -73.9803938)",EAST 43 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,TAXI,PASSENGER VEHICLE,,,,OTHER VEHICULAR,OTHER VEHICULAR,,,
3146905,01/02/2015,18:30,QUEENS,11373,40.7411416,-73.8755078,"(40.7411416, -73.8755078)",48 AVENUE,CORONA AVENUE,,1,0,1,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,FAILURE TO YIELD RIGHT-OF-WAY,,,,
3147227,01/02/2015,18:30,BROOKLYN,11237,40.6988063,-73.9183658,"(40.6988063, -73.9183658)",KNICKERBOCKER AVENUE,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,OTHER,OTHER,,,,UNSPECIFIED,UNSPECIFIED,,,
3146408,01/02/2015,18:40,,,,,,WHITE STREET,BOERUM STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3146177,01/02/2015,18:45,MANHATTAN,10036,40.760927,-73.9945276,"(40.760927, -73.9945276)",10 AVENUE,WEST 44 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,VAN,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3146203,01/02/2015,18:50,MANHATTAN,10029,40.7861742,-73.945696,"(40.7861742, -73.945696)",EAST 99 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,OTHER,,,,OTHER VEHICULAR,OTHER VEHICULAR,,,
3146427,01/02/2015,18:50,QUEENS,11419,40.6958547,-73.8189131,"(40.6958547, -73.8189131)",ATLANTIC AVENUE,130 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,TURNING IMPROPERLY,UNSPECIFIED,,,
3146294,01/02/2015,19:00,BRONX,10468,40.8805075,-73.8859509,"(40.8805075, -73.8859509)",WEST MOSHOLU PARKWAY SOUTH,PAUL AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3146149,01/02/2015,19:00,MANHATTAN,10009,40.7313511,-73.9825546,"(40.7313511, -73.9825546)",1 AVENUE,EAST 14 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,FELL ASLEEP,UNSAFE SPEED,,,
3146893,01/02/2015,19:00,,,40.7589491,-73.8319096,"(40.7589491, -73.8319096)",,,PARKING LOT PRINCE ST & ROOSEVELT AVE,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3148764,01/02/2015,19:00,BRONX,10468,40.8624442,-73.8971422,"(40.8624442, -73.8971422)",EAST FORDHAM ROAD,GRAND CONCOURSE,,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,DRIVER INATTENTION/DISTRACTION,,,,
3146698,01/02/2015,19:01,BRONX,10475,40.8714616,-73.8305369,"(40.8714616, -73.8305369)",ALCOTT PLACE,ASCH LOOP,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,UNSPECIFIED,,,,
3146699,01/02/2015,19:01,BRONX,10475,40.8714616,-73.8305369,"(40.8714616, -73.8305369)",ALCOTT PLACE,ASCH LOOP,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,UNSPECIFIED,,,,
3146839,01/02/2015,19:05,QUEENS,11415,40.7107225,-73.8348772,"(40.7107225, -73.8348772)",PARK LANE,80 ROAD,,1,0,1,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,VIEW OBSTRUCTED/LIMITED,,,,
3146667,01/02/2015,19:05,BRONX,10451,40.8185601,-73.9273161,"(40.8185601, -73.9273161)",EAST 149 STREET,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,OUTSIDE CAR DISTRACTION,UNSPECIFIED,,,
3148097,01/02/2015,19:05,BRONX,10471,40.906862,-73.904099,"(40.906862, -73.904099)",RIVERDALE AVENUE,WEST 259 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
